what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1329811209648
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329811215772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329811221897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813468313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813484763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813563382
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329813565385
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1329813566576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329813597198
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329813600444
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813607109
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1329813620866
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1329813620906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813620937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813623184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813626097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813627368
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813651920
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329813656068
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329813656365
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329813658299
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1329813658501
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329813661914
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813662706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813664123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813665973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813680292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813682366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813750448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329813752837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813755966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813806377
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329813806540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813811513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813812631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813814269
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813815010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813815886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813817032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813818118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813819135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813827761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813829694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813831400
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813833393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813834852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813850995
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329813861593
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329813871416
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329813878406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329813890714
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329813928357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813932674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329813937371
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1329813937498
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1329813938430
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1329813939536
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1329813939566
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1329813939720
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1329813939841
