what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329827725091
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329827745449
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329827746960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329827764576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329827767359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329827783255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329827786277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329827792803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329827795938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329827804919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329827875307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329827898465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329827898598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329827948529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329828045202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329828094726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329828094844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329828108029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329828113867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329828122780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329828196760
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329828215821
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329828225081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329828240669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329828242171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329829449939
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329829461815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329829468253
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329829543424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329829585334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329829621277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329829624313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329829631934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329829695621
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329829737190
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329829739064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329829855558
